,id,username,year,overarching_category,num_solved
697,18533,gdenhez,2019,Forensics,2
698,18533,gdenhez,2019,Misc,1
699,18533,gdenhez,2019,Web,1
700,18533,gdenhez,2020,Crypt,7
701,18533,gdenhez,2020,Forensics,18
702,18533,gdenhez,2020,Misc,12
703,18533,gdenhez,2020,Pwn,8
704,18533,gdenhez,2020,Rev,6
705,18533,gdenhez,2020,Web,5
706,18533,gdenhez,2021,Crypt,17
707,18533,gdenhez,2021,Forensics,4
708,18533,gdenhez,2021,Misc,7
709,18533,gdenhez,2021,Pwn,2
710,18533,gdenhez,2021,Rev,1
711,18533,gdenhez,2021,Web,8
712,18533,gdenhez,2022,Forensics,1
713,18533,gdenhez,2022,Misc,7
714,18533,gdenhez,2022,Pwn,10
715,18533,gdenhez,2023,Forensics,27
716,18533,gdenhez,2023,Pwn,3
717,18533,gdenhez,2023,Rev,13
718,18533,gdenhez,2023,Special,13
719,18533,gdenhez,2023,Web,2
720,18533,gdenhez,2024,Pwn,6
721,18533,gdenhez,2024,Rev,3
722,18533,gdenhez,2024,Special,19
